dpt,nom_dpt,pop_dpt,Hbgt_collectif,Hbgt_locatif,Hbgt_plein_air,Hbgt_hotel,Hbgt_total,sem_01,sem_02,sem_03,sem_04,sem_05,sem_06,sem_07,sem_08,sem_09,sem_10,sem_11,sem_12,sem_13,sem_14,sem_15,sem_16,sem_17,sem_18,sem_19,sem_20,sem_21,sem_22,sem_23,sem_24,sem_25,sem_26,sem_27,sem_28,sem_29,sem_30,sem_31,sem_32,sem_33,sem_34,sem_35,sem_36,sem_37,sem_38,sem_39,sem_40,sem_41,sem_42,sem_43,sem_44,sem_45,sem_46,sem_47,sem_48,sem_49,sem_50,sem_51,sem_52,sem_53
09,Ariège,152611,187,2972,6337,1138,10634,110910,47498,46505,48364,47770,62444,95625,109423,94732,90601,55694,61748,84273,54462,61046,76684,59662,67512,92999,54932,39612,63897,67962,74882,75505,102877,164275,209592,174967,201714,216175,239860,250257,183709,105061,95277,88490,75287,69106,55364,58033,56364,74081,85266,45671,35678,32513,27064,27748,26779,57447,145398,26681
11,Aude,368323,11534,21106,35451,7662,75753,404934,211294,226874,210652,217562,246342,328768,370280,358966,339390,265134,370734,606788,478578,479490,598172,488594,594880,742926,482002,323384,577378,590020,677292,715382,838156,961652,1273646,1409688,1519818,1523460,1673388,1781104,1430518,849162,786984,831174,741642,594876,518134,496624,448602,524734,518538,325552,289964,288632,251056,239762,228266,334552,616942,98964
12,Aveyron,278217,5651,18554,31042,9705,64952,102296,47342,50415,47535,48898,49486,74378,96619,93647,80766,68955,92362,127688,105131,109669,152124,123062,134422,197431,131935,94834,136799,136201,144888,161367,194223,243396,314057,351208,386723,389900,453454,445332,320074,176552,173268,162607,141010,126151,107758,110672,135110,159256,183413,89083,75752,68662,68237,51525,57458,106745,215260,29585
30,Gard,744958,11402,13392,66087,6912,97793,280736,159166,182171,145802,156956,173886,218946,222550,207674,221660,173915,221875,371400,321637,337188,407006,413382,377847,493359,325703,247816,388686,375733,428489,464569,513192,576698,719125,897245,931040,918445,1039018,1002642,778969,472345,531091,529065,447897,371733,332395,354415,400705,448325,446706,309218,275430,274291,250873,187164,203592,288989,484494,77267
31,Haute-Garonne,1376737,16248,10569,11284,10231,48332,572653,381328,420573,355608,366638,416787,467680,509484,457670,506628,389604,504431,601997,480610,491160,508383,403721,474832,545861,438047,289631,551943,517883,560147,556197,626729,655083,708130,722514,748704,665153,674099,745576,718988,575335,640973,667284,651855,593944,581205,595400,635742,655886,676377,514572,470522,493696,460842,396467,420665,564821,845424,137257
32,Gers,189824,4288,11151,11943,2536,29918,86137,44195,48665,42289,46284,47786,53930,63315,65059,72000,53142,71829,98058,82436,83531,104255,85266,103531,138763,100361,64735,105025,107502,103297,119942,152554,214168,258395,223558,281494,269503,261964,255989,200760,118384,116777,112731,98422,92174,89240,87200,91365,105552,100350,71643,61139,57082,52610,41824,47743,77563,142863,22162
34,Hérault,1155017,36347,33269,125262,21992,216870,554190,343901,371689,329068,348662,394734,480970,507184,495156,507064,396748,512012,808824,707421,783785,937254,979203,913211,1231192,716827,580704,886621,878293,1025954,1121003,1260598,1489779,1773125,2042483,2164097,2244237,2562412,2599054,2152288,1340889,1348689,1294211,1105771,872131,762814,721886,810593,906239,890295,625306,575045,552157,516119,389196,412924,523649,864340,153813
46,Lot,172296,6727,21549,27180,4823,60279,97033,44056,48995,42909,44351,49203,69195,87477,81049,73405,59318,75743,127250,102753,111756,151771,137118,162211,207948,127250,82507,131573,139464,137312,169239,200003,236666,319541,370825,423421,447317,460203,471754,350371,187677,180292,159289,134087,124461,98087,96659,106308,138549,156966,75427,64817,60271,55377,43952,47147,89461,190314,29453
48,Lozère,75949,5551,11957,8886,118,26512,41943,17393,19463,16806,19079,18806,25031,36061,37129,33015,27056,30182,44935,39857,50817,67829,72555,69547,101759,58979,43196,62978,67249,72553,84107,84783,115709,152168,155674,167292,189349,215342,208458,131998,71965,87644,75100,66420,56896,44813,49687,61275,78735,78525,32034,29174,25124,24002,15871,18754,37299,74216,12634
65,Hautes-Pyrénées,226210,25351,16531,18796,23963,84641,236355,75709,93311,104786,116960,192143,230398,245686,213628,205044,140641,130952,219977,151362,127278,176974,108159,187290,233497,196919,97019,172589,196653,196764,243646,264112,261336,324545,376843,487593,409539,446066,517179,448222,239726,267010,279840,263333,204776,234243,207065,163752,184778,148235,81220,71764,60998,53676,58272,46417,123786,373726,71178
66,Pyrénées-Orientales,479754,30638,34328,105360,14951,185277,498760,221992,229158,220026,239352,289819,377714,463270,422709,383859,262614,315497,490457,369347,392951,519473,457148,532222,655356,404266,283131,490416,530365,606263,687541,789186,978390,1346353,1494548,1561778,1644159,1793171,1892854,1559623,896752,858564,810305,660877,509745,430490,415562,373916,430990,460236,276069,243637,246953,236731,237072,210367,314914,650034,131465
81,Tarn,387626,3786,7661,8640,3748,23835,121238,59410,63320,55459,56812,67155,85414,97918,88994,84948,69301,85742,115415,93886,97484,123880,98136,117896,142867,111088,60341,118656,115684,119928,127594,158299,174788,206948,224372,241873,250514,268445,291950,218226,130617,133379,122924,114971,93996,90766,99753,100918,127095,143676,85214,78385,73355,64415,55765,57455,108732,212591,29471
82,Tarn-et-Garonne,260118,0,3437,4383,1127,8947,94042,58751,61472,55145,54526,58296,68738,85354,82086,86981,70948,86156,102701,92792,91117,114064,89524,105638,130495,102692,69083,119044,120825,126291,128336,158692,180573,207955,211463,224898,212938,213599,226349,190619,131436,138324,131934,121345,112205,104273,107327,116083,118118,122245,92510,90783,84568,75913,57494,66677,92788,160462,23002
